Roll Number,Name of Category of Admission Test,Marks Obtained
18821,Pre-Medical (PU-M),33
18823,Pre-Medical (PU-M),53
18824,Pre-Medical (PU-M),61
18825,Pre-Medical (PU-M),63
18826,Pre-Medical (PU-M),53
18827,Pre-Medical (PU-M),38
18829,Pre-Medical (PU-M),51
18830,Pre-Medical (PU-M),48
18831,Pre-Medical (PU-M),61
18832,Pre-Medical (PU-M),35
18833,Pre-Medical (PU-M),30
18834,Pre-Medical (PU-M),64
18835,Pre-Medical (PU-M),64
18836,Pre-Medical (PU-M),44
18837,Pre-Medical (PU-M),60
18838,Pre-Medical (PU-M),55
18839,Pre-Medical (PU-M),40
18840,Pre-Medical (PU-M),59
18841,Pre-Medical (PU-M),52
18842,Pre-Medical (PU-M),67
18843,Pre-Medical (PU-M),43
18844,Pre-Medical (PU-M),68
18845,Pre-Medical (PU-M),0
18846,Commerce (PU-COM),55
18847,Commerce (PU-COM),28
18848,Commerce (PU-COM),45
18849,Commerce (PU-COM),77
18850,Commerce (PU-COM),58
18851,Commerce (PU-COM),37
18852,Commerce (PU-COM),56
18853,Commerce (PU-COM),45
18854,Commerce (PU-COM),33
18855,Commerce (PU-COM),51
18856,Commerce (PU-COM),34
18857,Commerce (PU-COM),40
18858,Commerce (PU-COM),0
18859,Commerce (PU-COM),0
18860,Commerce (PU-COM),0
18861,Commerce (PU-COM),55
18863,Commerce (PU-COM),45
18865,Commerce (PU-COM),38
18866,Commerce (PU-COM),50
18869,Commerce (PU-COM),57
18870,Commerce (PU-COM),50
18871,Commerce (PU-COM),0
18872,Commerce (PU-COM),0
18873,Commerce (PU-COM),49
18874,Commerce (PU-COM),0
18875,Commerce (PU-COM),0
18876,Commerce (PU-COM),47
18878,Commerce (PU-COM),47
18879,Commerce (PU-COM),64
18880,Commerce (PU-COM),49
18881,Commerce (PU-COM),67
18882,Commerce (PU-COM),67
18883,Commerce (PU-COM),0
18884,Commerce (PU-COM),59
18885,Commerce (PU-COM),57
18886,Commerce (PU-COM),35
18888,Commerce (PU-COM),37
18889,Commerce (PU-COM),30
18890,Commerce (PU-COM),49
18891,Commerce (PU-COM),41
18892,Commerce (PU-COM),36
18893,Commerce (PU-COM),75
18894,Commerce (PU-COM),75
18897,Commerce (PU-COM),58
18898,Commerce (PU-COM),46
18899,Commerce (PU-COM),45
18900,Commerce (PU-COM),49
18901,Commerce (PU-COM),55
18902,Commerce (PU-COM),40
18903,ICS with Physics Combination (PU-CSP),0
18906,ICS with Physics Combination (PU-CSP),0
18907,ICS with Physics Combination (PU-CSP),0
18908,ICS with Physics Combination (PU-CSP),54
18909,ICS with Physics Combination (PU-CSP),48
18910,ICS with Physics Combination (PU-CSP),44
18911,ICS with Physics Combination (PU-CSP),49
18912,ICS with Physics Combination (PU-CSP),36
18913,ICS with Physics Combination (PU-CSP),39
18915,ICS with Physics Combination (PU-CSP),65
18916,ICS with Physics Combination (PU-CSP),42
18917,ICS with Physics Combination (PU-CSP),53
18918,ICS with Physics Combination (PU-CSP),43
18919,ICS with Physics Combination (PU-CSP),51
18921,ICS with Physics Combination (PU-CSP),45
18922,ICS with Physics Combination (PU-CSP),59
18923,ICS with Physics Combination (PU-CSP),59
18924,ICS with Physics Combination (PU-CSP),41
18925,ICS with Physics Combination (PU-CSP),33
18926,ICS with Physics Combination (PU-CSP),0
18927,ICS with Physics Combination (PU-CSP),72
18928,ICS with Physics Combination (PU-CSP),0
18929,ICS with Physics Combination (PU-CSP),50
18930,ICS with Physics Combination (PU-CSP),42
18931,ICS with Physics Combination (PU-CSP),38
18932,ICS with Physics Combination (PU-CSP),47
18933,ICS with Physics Combination (PU-CSP),61
18934,ICS with Physics Combination (PU-CSP),40
18935,ICS with Physics Combination (PU-CSP),0
18936,ICS with Physics Combination (PU-CSP),35
18937,ICS with Physics Combination (PU-CSP),38
18939,ICS with Physics Combination (PU-CSP),39
18940,Pre-Medical (PU-M),49
18941,Pre-Medical (PU-M),73
18942,Pre-Medical (PU-M),57
18943,Pre-Medical (PU-M),60
18944,Pre-Medical (PU-M),63
18945,Pre-Medical (PU-M),63
18946,Pre-Medical (PU-M),65
18947,Pre-Medical (PU-M),41
18948,Pre-Medical (PU-M),44
18950,Pre-Medical (PU-M),0
18951,Pre-Medical (PU-M),53
18952,Pre-Medical (PU-M),33
18953,Pre-Medical (PU-M),47
18955,Pre-Medical (PU-M),52
18957,Pre-Medical (PU-M),67
18960,Pre-Medical (PU-M),47
18961,Pre-Medical (PU-M),0
18962,Pre-Medical (PU-M),57
18963,Pre-Medical (PU-M),52
18964,Pre-Medical (PU-M),53
18965,Pre-Medical (PU-M),44
18966,Pre-Medical (PU-M),56
18967,Pre-Medical (PU-M),74
18968,Pre-Medical (PU-M),46
18970,Pre-Medical (PU-M),66
18972,Pre-Medical (PU-M),48
18973,Pre-Medical (PU-M),42
18974,Pre-Medical (PU-M),49
18975,Pre-Medical (PU-M),57
18976,Pre-Medical (PU-M),61
18977,Pre-Medical (PU-M),42
18978,Pre-Medical (PU-M),59
18979,Pre-Medical (PU-M),49
18980,Pre-Medical (PU-M),55
18982,Pre-Medical (PU-M),66
18983,Pre-Medical (PU-M),63
18984,Pre-Medical (PU-M),40
18985,Pre-Medical (PU-M),60
18986,Pre-Medical (PU-M),46
18987,Pre-Medical (PU-M),39
18988,Pre-Medical (PU-M),62
18990,Pre-Medical (PU-M),39
18991,Pre-Medical (PU-M),39
18992,Pre-Medical (PU-M),63
18993,Pre-Medical (PU-M),66
18994,Pre-Medical (PU-M),58
18995,Pre-Medical (PU-M),58
18996,Pre-Medical (PU-M),53
18997,Pre-Medical (PU-M),68
18998,Pre-Medical (PU-M),63
18999,Pre-Medical (PU-M),38
14000,ICS with Physics Combination (PU-CSP),73
14002,ICS with Physics Combination (PU-CSP),64
14003,ICS with Physics Combination (PU-CSP),70
14004,ICS with Physics Combination (PU-CSP),44
14005,ICS with Physics Combination (PU-CSP),36
14006,ICS with Physics Combination (PU-CSP),36
14007,ICS with Physics Combination (PU-CSP),38
14008,ICS with Physics Combination (PU-CSP),70
14009,ICS with Physics Combination (PU-CSP),70
14010,ICS with Physics Combination (PU-CSP),53
14011,ICS with Physics Combination (PU-CSP),0
14012,ICS with Physics Combination (PU-CSP),37
14013,Pre-Medical (PU-M),50
14015,Pre-Medical (PU-M),31
14016,Pre-Medical (PU-M),31
14018,Pre-Medical (PU-M),48
14019,Pre-Medical (PU-M),48
14020,Pre-Medical (PU-M),30
14021,Pre-Medical (PU-M),42
14022,Pre-Medical (PU-M),59
14023,Pre-Medical (PU-M),64
14024,Pre-Medical (PU-M),43
14025,Pre-Medical (PU-M),53
14026,Pre-Medical (PU-M),53
14028,Pre-Medical (PU-M),38
14030,Pre-Medical (PU-M),77
14031,Pre-Medical (PU-M),52
14032,Pre-Medical (PU-M),0
14033,Pre-Medical (PU-M),55
14034,Pre-Medical (PU-M),55
14035,Pre-Medical (PU-M),54
14037,Pre-Medical (PU-M),67
14038,Pre-Medical (PU-M),67
14039,Pre-Medical (PU-M),39
14040,Pre-Medical (PU-M),39
14041,Pre-Medical (PU-M),48
14043,Pre-Medical (PU-M),69
14044,Pre-Medical (PU-M),48
14045,Pre-Medical (PU-M),67
14046,Pre-Medical (PU-M),67
14047,Pre-Medical (PU-M),50
14048,Pre-Medical (PU-M),50
14049,Pre-Medical (PU-M),53
14050,Pre-Medical (PU-M),50
14051,Pre-Medical (PU-M),51
14052,Pre-Medical (PU-M),47
14054,Pre-Medical (PU-M),51
14055,Pre-Medical (PU-M),70
14056,Pre-Medical (PU-M),0
14057,Pre-Medical (PU-M),59
14058,Pre-Medical (PU-M),54
14059,Pre-Medical (PU-M),0
14060,Pre-Medical (PU-M),47
14061,Pre-Medical (PU-M),47
14063,Pre-Medical (PU-M),52
14064,Pre-Medical (PU-M),52
14065,Pre-Medical (PU-M),75
14066,Pre-Medical (PU-M),46
14067,Pre-Medical (PU-M),61
14069,Pre-Medical (PU-M),63
14070,Pre-Medical (PU-M),35
14071,Pre-Medical (PU-M),0
14073,Pre-Medical (PU-M),0
14075,Pre-Medical (PU-M),55
14076,Pre-Medical (PU-M),40
14078,Pre-Medical (PU-M),54
14079,Pre-Medical (PU-M),34
14080,Pre-Medical (PU-M),55
14082,Pre-Medical (PU-M),69
14083,Pre-Medical (PU-M),56
14085,Pre-Medical (PU-M),66
14086,Pre-Medical (PU-M),68
14087,Pre-Medical (PU-M),32
14088,Pre-Medical (PU-M),47
14089,Pre-Medical (PU-M),61
14090,ICS with Physics Combination (PU-CSP),60
14091,ICS with Physics Combination (PU-CSP),60
14092,ICS with Physics Combination (PU-CSP),75
14094,ICS with Physics Combination (PU-CSP),67
14095,ICS with Physics Combination (PU-CSP),69
14096,ICS with Physics Combination (PU-CSP),54
14097,ICS with Physics Combination (PU-CSP),37
14098,ICS with Physics Combination (PU-CSP),66
14099,ICS with Physics Combination (PU-CSP),64
14100,ICS with Physics Combination (PU-CSP),64
14101,ICS with Physics Combination (PU-CSP),59
14102,ICS with Physics Combination (PU-CSP),64
14103,ICS with Physics Combination (PU-CSP),49
14104,ICS with Physics Combination (PU-CSP),48
14105,ICS with Physics Combination (PU-CSP),65
14106,ICS with Physics Combination (PU-CSP),51
14107,ICS with Physics Combination (PU-CSP),72
14108,ICS with Physics Combination (PU-CSP),35
14109,ICS with Physics Combination (PU-CSP),40
14110,ICS with Physics Combination (PU-CSP),54
14112,ICS with Physics Combination (PU-CSP),38
14113,ICS with Physics Combination (PU-CSP),48
14114,ICS with Physics Combination (PU-CSP),38
14116,ICS with Physics Combination (PU-CSP),50
14117,ICS with Physics Combination (PU-CSP),50
14118,ICS with Physics Combination (PU-CSP),50
14119,ICS with Physics Combination (PU-CSP),39
14120,ICS with Physics Combination (PU-CSP),56
14121,ICS with Physics Combination (PU-CSP),58
14124,Pre-Engineering (PU-E),78
14125,Pre-Engineering (PU-E),61
14127,Pre-Engineering (PU-E),88
14129,Pre-Engineering (PU-E),76
14131,Pre-Engineering (PU-E),57
14132,Pre-Engineering (PU-E),68
14133,Pre-Engineering (PU-E),68
14134,Pre-Engineering (PU-E),50
14135,Pre-Engineering (PU-E),56
14136,Pre-Engineering (PU-E),53
14137,Pre-Engineering (PU-E),43
14138,Pre-Engineering (PU-E),43
14139,Pre-Engineering (PU-E),0
14140,Pre-Engineering (PU-E),54
14141,Pre-Engineering (PU-E),66
14142,Pre-Engineering (PU-E),53
14143,Pre-Engineering (PU-E),79
14145,Pre-Engineering (PU-E),54
14146,Pre-Engineering (PU-E),62
14148,Pre-Engineering (PU-E),86
14149,Pre-Engineering (PU-E),86
14150,Pre-Engineering (PU-E),73
14152,Pre-Engineering (PU-E),57
14153,Pre-Engineering (PU-E),63
14154,Pre-Engineering (PU-E),55
14155,Pre-Engineering (PU-E),81
14156,Pre-Engineering (PU-E),37
14157,Pre-Engineering (PU-E),37
14158,Pre-Engineering (PU-E),82
14159,Pre-Engineering (PU-E),55
14162,Pre-Engineering (PU-E),71
14163,Pre-Engineering (PU-E),0
14164,Pre-Engineering (PU-E),74
14166,Pre-Engineering (PU-E),56
14167,Pre-Engineering (PU-E),42
14168,Pre-Engineering (PU-E),55
14169,Pre-Engineering (PU-E),33
14170,Pre-Medical (PU-M),51
14171,Pre-Medical (PU-M),48
14172,Pre-Medical (PU-M),66
14173,Pre-Medical (PU-M),65
14174,Pre-Medical (PU-M),65
14175,Pre-Medical (PU-M),32
14176,Pre-Medical (PU-M),35
14177,Pre-Medical (PU-M),63
14178,Pre-Medical (PU-M),43
14179,Pre-Medical (PU-M),44
14181,Pre-Medical (PU-M),53
14182,Pre-Medical (PU-M),35
14183,Pre-Medical (PU-M),61
14184,Pre-Medical (PU-M),47
14185,Pre-Medical (PU-M),45
14186,Pre-Medical (PU-M),55
14187,Pre-Medical (PU-M),46
14188,Pre-Medical (PU-M),57
14189,Pre-Medical (PU-M),73
14190,Pre-Medical (PU-M),51
14191,Pre-Medical (PU-M),48
14192,Pre-Medical (PU-M),37
14193,Pre-Medical (PU-M),43
14194,Pre-Medical (PU-M),56
14195,Pre-Medical (PU-M),41
14196,Pre-Medical (PU-M),51
14197,Pre-Medical (PU-M),41
14198,Pre-Medical (PU-M),51
14199,Pre-Medical (PU-M),59
14200,Pre-Medical (PU-M),67
14201,Pre-Medical (PU-M),47
14202,Pre-Medical (PU-M),63
14204,Pre-Medical (PU-M),40
14206,Pre-Medical (PU-M),41
14207,Pre-Medical (PU-M),59
14208,Pre-Medical (PU-M),31
14209,Pre-Medical (PU-M),0
14210,Pre-Medical (PU-M),41
14211,Pre-Medical (PU-M),41
14212,Pre-Medical (PU-M),58
14213,Pre-Medical (PU-M),37
14214,Pre-Medical (PU-M),53
14216,Pre-Medical (PU-M),51
14217,Pre-Medical (PU-M),33
14218,Pre-Medical (PU-M),39
14219,Pre-Medical (PU-M),50
14220,Pre-Medical (PU-M),55
14223,Pre-Medical (PU-M),58
14224,Pre-Medical (PU-M),46
14225,Pre-Medical (PU-M),46
14226,Pre-Medical (PU-M),51
14227,Pre-Medical (PU-M),55
14228,Pre-Medical (PU-M),59
14229,Pre-Medical (PU-M),39
14230,Pre-Medical (PU-M),48
14231,Pre-Medical (PU-M),49
14232,Pre-Medical (PU-M),53
14234,Pre-Medical (PU-M),36
14235,Pre-Medical (PU-M),66
14236,Pre-Medical (PU-M),60
14237,Pre-Medical (PU-M),56
14238,Pre-Medical (PU-M),42
14239,Pre-Medical (PU-M),0
14240,Pre-Medical (PU-M),36
14241,Pre-Medical (PU-M),48
14242,Pre-Medical (PU-M),56
14243,Pre-Medical (PU-M),41
14245,Pre-Medical (PU-M),53
14247,Pre-Medical (PU-M),57
14248,"Arts, Humanities & Social Sciences (PU-AHS)",59
14249,"Arts, Humanities & Social Sciences (PU-AHS)",35
14250,"Arts, Humanities & Social Sciences (PU-AHS)",35
14251,"Arts, Humanities & Social Sciences (PU-AHS)",52
14252,"Arts, Humanities & Social Sciences (PU-AHS)",38
14253,"Arts, Humanities & Social Sciences (PU-AHS)",52
14254,"Arts, Humanities & Social Sciences (PU-AHS)",44
14255,"Arts, Humanities & Social Sciences (PU-AHS)",37
14256,"Arts, Humanities & Social Sciences (PU-AHS)",45
14257,"Arts, Humanities & Social Sciences (PU-AHS)",48
14258,"Arts, Humanities & Social Sciences (PU-AHS)",0
14259,"Arts, Humanities & Social Sciences (PU-AHS)",43
14261,"Arts, Humanities & Social Sciences (PU-AHS)",50
14262,"Arts, Humanities & Social Sciences (PU-AHS)",39
14263,"Arts, Humanities & Social Sciences (PU-AHS)",39
14264,"Arts, Humanities & Social Sciences (PU-AHS)",39
14265,"Arts, Humanities & Social Sciences (PU-AHS)",38
14266,"Arts, Humanities & Social Sciences (PU-AHS)",35
14267,"Arts, Humanities & Social Sciences (PU-AHS)",42
14268,"Arts, Humanities & Social Sciences (PU-AHS)",42
14269,"Arts, Humanities & Social Sciences (PU-AHS)",54
14270,"Arts, Humanities & Social Sciences (PU-AHS)",0
14271,"Arts, Humanities & Social Sciences (PU-AHS)",51
14272,"Arts, Humanities & Social Sciences (PU-AHS)",42
14273,"Arts, Humanities & Social Sciences (PU-AHS)",42
14274,"Arts, Humanities & Social Sciences (PU-AHS)",32
14275,"Arts, Humanities & Social Sciences (PU-AHS)",47
14276,"Arts, Humanities & Social Sciences (PU-AHS)",44
14277,"Arts, Humanities & Social Sciences (PU-AHS)",0
14278,"Arts, Humanities & Social Sciences (PU-AHS)",47
14279,"Arts, Humanities & Social Sciences (PU-AHS)",55
14280,"Arts, Humanities & Social Sciences (PU-AHS)",41
14281,"Arts, Humanities & Social Sciences (PU-AHS)",32
14282,"Arts, Humanities & Social Sciences (PU-AHS)",38
14283,"Arts, Humanities & Social Sciences (PU-AHS)",0
14284,"Arts, Humanities & Social Sciences (PU-AHS)",46
14285,"Arts, Humanities & Social Sciences (PU-AHS)",59
14286,"Arts, Humanities & Social Sciences (PU-AHS)",65
14287,"Arts, Humanities & Social Sciences (PU-AHS)",30
14289,"Arts, Humanities & Social Sciences (PU-AHS)",26
14290,"Arts, Humanities & Social Sciences (PU-AHS)",47
14292,"Arts, Humanities & Social Sciences (PU-AHS)",39
14293,"Arts, Humanities & Social Sciences (PU-AHS)",53
14294,"Arts, Humanities & Social Sciences (PU-AHS)",42
14295,"Arts, Humanities & Social Sciences (PU-AHS)",0
14296,"Arts, Humanities & Social Sciences (PU-AHS)",49
14297,"Arts, Humanities & Social Sciences (PU-AHS)",0
14300,"Arts, Humanities & Social Sciences (PU-AHS)",46
14301,"Arts, Humanities & Social Sciences (PU-AHS)",47
14302,"Arts, Humanities & Social Sciences (PU-AHS)",44
14303,ICS with Physics Combination (PU-CSP),59
14304,ICS with Physics Combination (PU-CSP),42
14305,ICS with Physics Combination (PU-CSP),0
14308,ICS with Physics Combination (PU-CSP),0
14309,ICS with Physics Combination (PU-CSP),43
14310,ICS with Physics Combination (PU-CSP),27
14311,ICS with Physics Combination (PU-CSP),42
14314,ICS with Physics Combination (PU-CSP),45
14315,ICS with Physics Combination (PU-CSP),50
14317,ICS with Physics Combination (PU-CSP),49
14319,ICS with Physics Combination (PU-CSP),44
14320,ICS with Physics Combination (PU-CSP),40
14321,ICS with Physics Combination (PU-CSP),40
14322,ICS with Physics Combination (PU-CSP),68
14323,ICS with Physics Combination (PU-CSP),68
14324,ICS with Physics Combination (PU-CSP),63
14325,ICS with Physics Combination (PU-CSP),47
14326,ICS with Physics Combination (PU-CSP),52
14327,ICS with Physics Combination (PU-CSP),32
14328,ICS with Physics Combination (PU-CSP),37
14329,ICS with Physics Combination (PU-CSP),47
14330,ICS with Physics Combination (PU-CSP),75
14331,ICS with Physics Combination (PU-CSP),43
14332,ICS with Physics Combination (PU-CSP),66
14333,ICS with Physics Combination (PU-CSP),43
14334,ICS with Physics Combination (PU-CSP),46
14335,ICS with Physics Combination (PU-CSP),38
14336,ICS with Physics Combination (PU-CSP),49
14337,Pre-Medical (PU-M),50
14338,Pre-Medical (PU-M),53
14339,Pre-Medical (PU-M),48
14340,Pre-Medical (PU-M),52
14342,Pre-Medical (PU-M),54
14343,Pre-Medical (PU-M),70
14344,Pre-Medical (PU-M),56
14345,Pre-Medical (PU-M),55
14346,Pre-Medical (PU-M),62
14347,Pre-Medical (PU-M),41
14348,Pre-Medical (PU-M),39
14349,Pre-Medical (PU-M),48
14350,Pre-Medical (PU-M),66
14351,Pre-Medical (PU-M),66
14352,Pre-Medical (PU-M),40
14353,Pre-Medical (PU-M),56
14354,Pre-Medical (PU-M),39
14355,Pre-Medical (PU-M),0
14356,Pre-Medical (PU-M),41
14357,Pre-Medical (PU-M),41
14358,Pre-Medical (PU-M),39
14359,Pre-Medical (PU-M),44
14360,Pre-Medical (PU-M),61
14361,Pre-Medical (PU-M),61
14362,Pre-Medical (PU-M),47
14363,Pre-Medical (PU-M),63
14365,Pre-Medical (PU-M),79
14366,Pre-Medical (PU-M),50
14367,Pre-Medical (PU-M),43
14368,Pre-Medical (PU-M),59
14369,Pre-Medical (PU-M),67
14370,Pre-Medical (PU-M),53
14371,Pre-Medical (PU-M),52
14372,Pre-Medical (PU-M),44
14373,Pre-Medical (PU-M),38
14374,Pre-Medical (PU-M),0
14375,Pre-Medical (PU-M),51
14377,Pre-Medical (PU-M),47
14378,Pre-Medical (PU-M),56
14379,Pre-Medical (PU-M),61
14380,Pre-Medical (PU-M),79
14381,Pre-Medical (PU-M),72
14382,Pre-Medical (PU-M),60
14383,Pre-Medical (PU-M),33
14384,Pre-Medical (PU-M),54
14385,Pre-Medical (PU-M),51
14386,Pre-Medical (PU-M),39
14389,Pre-Medical (PU-M),56
14390,Pre-Medical (PU-M),60
14391,Pre-Medical (PU-M),41
14393,Pre-Medical (PU-M),50
14394,Pre-Medical (PU-M),42
14395,Pre-Medical (PU-M),39
14398,Pre-Medical (PU-M),40
14399,Pre-Medical (PU-M),40
14401,Pre-Medical (PU-M),46
14402,Pre-Medical (PU-M),59
14403,Pre-Medical (PU-M),42
14404,Pre-Medical (PU-M),72
14405,Pre-Medical (PU-M),56
14406,Pre-Medical (PU-M),58
14407,Pre-Medical (PU-M),32
14408,Pre-Medical (PU-M),51
14409,Pre-Medical (PU-M),60
14410,Pre-Medical (PU-M),45
14411,Pre-Medical (PU-M),53
14412,Pre-Medical (PU-M),53
14413,Pre-Medical (PU-M),65
14414,Pre-Medical (PU-M),66
14416,ICS with Physics Combination (PU-CSP),47
14417,ICS with Physics Combination (PU-CSP),44
14418,Pre-Medical (PU-M),51
14419,ICS with Physics Combination (PU-CSP),53
14420,ICS with Physics Combination (PU-CSP),52
14421,ICS with Physics Combination (PU-CSP),52
14422,ICS with Physics Combination (PU-CSP),53
14424,ICS with Physics Combination (PU-CSP),80
14425,ICS with Physics Combination (PU-CSP),0
14426,ICS with Physics Combination (PU-CSP),57
14427,ICS with Physics Combination (PU-CSP),53
14428,ICS with Physics Combination (PU-CSP),47
14429,ICS with Physics Combination (PU-CSP),41
14430,ICS with Physics Combination (PU-CSP),51
14431,ICS with Physics Combination (PU-CSP),50
14432,ICS with Physics Combination (PU-CSP),0
14433,ICS with Physics Combination (PU-CSP),55
14434,ICS with Physics Combination (PU-CSP),47
14435,ICS with Physics Combination (PU-CSP),43
14436,ICS with Physics Combination (PU-CSP),42
14437,ICS with Physics Combination (PU-CSP),60
14438,ICS with Physics Combination (PU-CSP),0
14439,ICS with Physics Combination (PU-CSP),50
14440,ICS with Physics Combination (PU-CSP),56
14441,ICS with Physics Combination (PU-CSP),34
14442,ICS with Physics Combination (PU-CSP),0
14443,ICS with Physics Combination (PU-CSP),66
14444,ICS with Physics Combination (PU-CSP),66
14446,ICS with Physics Combination (PU-CSP),41
14447,ICS with Physics Combination (PU-CSP),40
14448,ICS with Physics Combination (PU-CSP),64
14449,ICS with Physics Combination (PU-CSP),71
14450,Pre-Engineering (PU-E),50
14451,Pre-Engineering (PU-E),68
14452,Pre-Engineering (PU-E),68
14454,Pre-Engineering (PU-E),62
14457,Pre-Engineering (PU-E),60
14458,Pre-Engineering (PU-E),61
14459,Pre-Engineering (PU-E),70
14460,Pre-Engineering (PU-E),57
14461,Pre-Engineering (PU-E),42
14463,Pre-Engineering (PU-E),36
14465,Pre-Engineering (PU-E),60
14466,Pre-Engineering (PU-E),63
14467,Pre-Engineering (PU-E),73
14468,Pre-Engineering (PU-E),77
14469,Pre-Engineering (PU-E),65
14470,Pre-Engineering (PU-E),58
14471,Pre-Engineering (PU-E),62
14472,Pre-Engineering (PU-E),79
14473,Pre-Engineering (PU-E),64
14474,Pre-Engineering (PU-E),34
14475,Pre-Engineering (PU-E),0
14476,Pre-Engineering (PU-E),52
14477,Pre-Engineering (PU-E),61
14478,Pre-Engineering (PU-E),65
14479,Pre-Engineering (PU-E),59
14480,Pre-Engineering (PU-E),52
14481,Pre-Engineering (PU-E),47
14482,Pre-Engineering (PU-E),49
14483,Pre-Engineering (PU-E),49
14484,Pre-Engineering (PU-E),48
14485,Pre-Engineering (PU-E),50
14486,Pre-Engineering (PU-E),49
14487,Pre-Engineering (PU-E),45
14489,Pre-Engineering (PU-E),49
14490,Pre-Engineering (PU-E),22
14491,Pre-Engineering (PU-E),49
14493,Pre-Engineering (PU-E),69
14494,Pre-Engineering (PU-E),48
14495,Pre-Engineering (PU-E),54
14496,Pre-Engineering (PU-E),53
14497,Pre-Medical (PU-M),54
14498,Pre-Medical (PU-M),45
14499,Pre-Medical (PU-M),72
14500,Pre-Medical (PU-M),39
14501,Pre-Medical (PU-M),47
14502,Pre-Medical (PU-M),47
14503,Pre-Medical (PU-M),70
14504,Pre-Medical (PU-M),43
14505,Pre-Medical (PU-M),46
14507,Pre-Medical (PU-M),40
14508,Pre-Medical (PU-M),50
14509,Pre-Medical (PU-M),67
14510,Pre-Medical (PU-M),62
14511,Pre-Medical (PU-M),63
14512,Pre-Medical (PU-M),55
14513,Pre-Medical (PU-M),64
14514,Pre-Medical (PU-M),31
14515,Pre-Medical (PU-M),48
14516,Pre-Medical (PU-M),41
14517,Pre-Medical (PU-M),62
14518,Pre-Medical (PU-M),56
14519,Pre-Medical (PU-M),43
14520,Pre-Medical (PU-M),53
14521,Pre-Medical (PU-M),58
14522,Pre-Medical (PU-M),69
14523,Pre-Medical (PU-M),52
14525,Pre-Medical (PU-M),58
14527,Pre-Medical (PU-M),53
14528,Pre-Medical (PU-M),63
14529,Pre-Medical (PU-M),51
14530,Pre-Medical (PU-M),46
14531,Pre-Medical (PU-M),63
14532,Pre-Medical (PU-M),59
14533,Pre-Medical (PU-M),59
14534,Pre-Medical (PU-M),56
14535,Pre-Medical (PU-M),63
14536,Pre-Medical (PU-M),0
14537,Pre-Medical (PU-M),61
14538,Pre-Medical (PU-M),58
14539,Pre-Medical (PU-M),50
14542,Pre-Medical (PU-M),39
14544,Pre-Medical (PU-M),67
14545,Pre-Medical (PU-M),42
14546,Pre-Medical (PU-M),50
14547,Pre-Medical (PU-M),51
14549,Pre-Medical (PU-M),58
14550,Pre-Medical (PU-M),42
14552,Pre-Medical (PU-M),61
14553,Pre-Medical (PU-M),66
14555,Pre-Medical (PU-M),53
14556,Pre-Medical (PU-M),0
14557,Pre-Medical (PU-M),36
14558,Pre-Medical (PU-M),53
14559,Pre-Medical (PU-M),0
14560,Pre-Medical (PU-M),33
14561,Pre-Medical (PU-M),42
14562,Pre-Medical (PU-M),48
14563,Pre-Medical (PU-M),60
14566,Pre-Medical (PU-M),63
14567,Pre-Medical (PU-M),46
14568,Pre-Medical (PU-M),44
14570,Pre-Medical (PU-M),62
14572,Pre-Medical (PU-M),63
14574,Pre-Medical (PU-M),59
14575,"Arts, Humanities & Social Sciences (PU-AHS)",38
14576,"Arts, Humanities & Social Sciences (PU-AHS)",46
14577,"Arts, Humanities & Social Sciences (PU-AHS)",0
14579,"Arts, Humanities & Social Sciences (PU-AHS)",56
14580,"Arts, Humanities & Social Sciences (PU-AHS)",41
14581,"Arts, Humanities & Social Sciences (PU-AHS)",0
14582,"Arts, Humanities & Social Sciences (PU-AHS)",32
14583,"Arts, Humanities & Social Sciences (PU-AHS)",60
14584,"Arts, Humanities & Social Sciences (PU-AHS)",49
14585,"Arts, Humanities & Social Sciences (PU-AHS)",0
14587,"Arts, Humanities & Social Sciences (PU-AHS)",56
14588,"Arts, Humanities & Social Sciences (PU-AHS)",46
14589,"Arts, Humanities & Social Sciences (PU-AHS)",48
14591,"Arts, Humanities & Social Sciences (PU-AHS)",50
14592,"Arts, Humanities & Social Sciences (PU-AHS)",0
14593,"Arts, Humanities & Social Sciences (PU-AHS)",41
14594,"Arts, Humanities & Social Sciences (PU-AHS)",53
14595,"Arts, Humanities & Social Sciences (PU-AHS)",30
14596,"Arts, Humanities & Social Sciences (PU-AHS)",44
14597,"Arts, Humanities & Social Sciences (PU-AHS)",52
14598,"Arts, Humanities & Social Sciences (PU-AHS)",52
14600,"Arts, Humanities & Social Sciences (PU-AHS)",0
14601,"Arts, Humanities & Social Sciences (PU-AHS)",0
14602,"Arts, Humanities & Social Sciences (PU-AHS)",49
14603,"Arts, Humanities & Social Sciences (PU-AHS)",53
14604,"Arts, Humanities & Social Sciences (PU-AHS)",41
14605,"Arts, Humanities & Social Sciences (PU-AHS)",55
14606,"Arts, Humanities & Social Sciences (PU-AHS)",49
14607,"Arts, Humanities & Social Sciences (PU-AHS)",58
14608,"Arts, Humanities & Social Sciences (PU-AHS)",34
14609,"Arts, Humanities & Social Sciences (PU-AHS)",42
14610,"Arts, Humanities & Social Sciences (PU-AHS)",52
14611,"Arts, Humanities & Social Sciences (PU-AHS)",28
14613,"Arts, Humanities & Social Sciences (PU-AHS)",37
14614,"Arts, Humanities & Social Sciences (PU-AHS)",41
